Membership No  Date Joined  Active  
    24720      2020-4-8     no    
    79817      2015-7-10    no    
    96092      2017-6-15    no    
    99002      2018-11-19   no    
    80004      2017-9-23    no    
    68561      2019-5-22    no    
    63180      2018-3-6     no    
    54317      2016-3-2     no    
    37428      2016-2-7     no    
    61145      2019-2-13    no    
    18982      2016-2-17    no    
    16816      2017-3-15    no    
    93683      2016-1-20    no    
    68533      2016-10-22   no    
