Membership No  Date Joined  Active  
    20725      2018-5-20    no    
    26857      2017-11-21   yes   
    62347      2018-4-25    no    
    25664      2019-3-10    yes   
    35522      2017-3-11    no    
    76138      2016-10-13   no    
    29331      2019-8-5     yes   
    93575      2019-3-25    no    
    39056      2017-1-11    no    
    60039      2017-11-11   no    
    23932      2018-6-18    yes   
    70717      2020-3-18    no    
    66446      2020-3-12    no    
    68166      2020-11-1    no    
    18101      2020-12-23   yes   
    33623      2017-7-14    no    
    73103      2017-4-13    yes   
    93361      2019-2-18    no    
    62382      2017-5-20    yes   
    45325      2016-1-10    no    
